TW,LW,Title (click to view),Studio,Weekend Gross,% Change,Theater Count ,Change,Average,Total Gross,Budget*,Week #,Oscar winner?
1,,Logan,Fox,"$88,411,916 ",-,"4,071",-,"$21,717 ","$88,411,916 ",$97 ,1,#N/A
2,1,Get Out,Uni.,"$28,236,285 ",-15.40%,"2,938",157,"$9,611 ","$78,079,925 ",$4.50 ,2,#N/A
3,,The Shack,LG/S,"$16,172,119 ",-,"2,888",-,"$5,600 ","$16,172,119 ",-,1,#N/A
4,2,The LEGO Batman Movie,WB,"$11,702,364 ",-39.10%,"3,656",-401,"$3,201 ","$148,684,165 ",$80 ,4,#N/A
5,3,John Wick: Chapter Two,LG/S,"$4,804,238 ",-48.70%,"2,475",-479,"$1,941 ","$82,945,210 ",-,4,#N/A
6,,Before I Fall,ORF,"$4,690,214 ",-,"2,346",-,"$1,999 ","$4,690,214 ",-,1,#N/A
7,7,Hidden Figures,Fox,"$3,826,330 ",-34.10%,"1,582",-440,"$2,419 ","$158,766,769 ",$25 ,11,#N/A
8,4,The Great Wall,Uni.,"$3,627,020 ",-60.30%,"2,314","-1,014","$1,567 ","$41,388,325 ",$150 ,3,#N/A
9,5,Fifty Shades Darker,Uni.,"$3,558,020 ",-54.30%,"2,205","-1,011","$1,614 ","$109,985,335 ",$55 ,4,#N/A
10,8,La La Land,LG/S,"$2,986,489 ",-36.30%,"1,411",-322,"$2,117 ","$145,695,851 ",$30 ,13,La La Land
11,6,Fist Fight,WB (NL),"$2,860,196 ",-56.50%,"2,303",-882,"$1,242 ","$28,286,371 ",-,3,#N/A
12,11,Rock Dog,LG/S,"$2,300,973 ",-37.90%,"2,077",-,"$1,108 ","$6,735,271 ",-,2,#N/A
13,18,Moonlight (2016),A24,"$2,300,940 ",227.20%,"1,564",979,"$1,471 ","$25,153,321 ",$4 ,20,#N/A
14,10,Lion,Wein.,"$2,125,815 ",-44.50%,"1,260",-542,"$1,687 ","$46,516,365 ",$12 ,15,#N/A
15,9,Split,Uni.,"$2,091,660 ",-49.00%,"1,126",-775,"$1,858 ","$134,044,560 ",$9 ,7,#N/A
16,12,A Dog's Purpose,Uni.,"$1,760,665 ",-50.70%,"1,494",-595,"$1,178 ","$60,218,235 ",$22 ,6,#N/A
17,,Table 19,FoxS,"$1,597,928 ",-,868,-,"$1,841 ","$1,597,928 ",-,1,#N/A
18,15,Moana,BV,"$633,216 ",-23.50%,321,-57,"$1,973 ","$246,885,618 ",-,15,#N/A
19,20,A United Kingdom,FoxS,"$632,123 ",24.60%,271,123,"$2,333 ","$1,814,372 ",-,4,#N/A
20,29,Ballerina (2017) [Canada Only],EOne,"$538,241 ",197.20%,237,160,"$2,271 ","$984,743 ",-,2,#N/A
21,16,I am Not Your Negro,Magn.,"$475,801 ",-42.40%,235,-78,"$2,025 ","$5,553,769 ",-,5,#N/A
22,21,Sing,Uni.,"$391,490 ",-19.80%,283,-108,"$1,383 ","$268,175,830 ",$75 ,11,Sing
23,35,Why Him?,Fox,"$341,598 ",164.90%,99,-269,"$3,450 ","$59,915,652 ",$38 ,11,#N/A
24,17,Fences,Par.,"$303,427 ",-60.90%,284,-313,"$1,068 ","$57,115,212 ",$24 ,12,Fences
25,22,Manchester by the Sea,RAtt.,"$262,184 ",-45.50%,387,-10,$677 ,"$47,346,616 ",$9 ,16,Manchester by the Sea
26,32,The Salesman,Cohen,"$251,036 ",54.80%,115,18,"$2,183 ","$1,784,744 ",-,6,The Salesman
27,39,Kedi,Osci.,"$237,008 ",116.70%,55,42,"$4,309 ","$579,818 ",-,4,#N/A
28,24,Rogue One: A Star Wars Story,BV,"$223,941 ",-47.10%,165,-119,"$1,357 ","$529,828,733 ",$200 ,12,#N/A
29,40,Monster Trucks,Par.,"$196,290 ",81.40%,187,37,"$1,050 ","$33,038,182 ",-,8,#N/A
30,13,Collide,ORF,"$173,620 ",-88.50%,"1,002","-1,043",$173 ,"$2,196,654 ",-,2,#N/A
31,49,Hacksaw Ridge,LGF,"$157,287 ",182.70%,107,47,"$1,470 ","$67,115,062 ",$40 ,18,Hacksaw Ridge
32,19,Rings,Par.,"$135,290 ",-80.30%,174,-545,$778 ,"$27,610,588 ",$25 ,5,#N/A
33,27,Passengers (2016),Sony,"$132,711 ",-45.40%,175,-112,$758 ,"$99,193,459 ",$110 ,11,#N/A
34,31,Fantastic Beasts and Where To Find Them,WB,"$129,047 ",-23.40%,192,-18,$672 ,"$233,680,642 ",$180 ,16,Fantastic Beasts and Where to Find Them
35,28,Bitter Harvest,RAtt.,"$104,408 ",-52.40%,84,-43,"$1,243 ","$402,216 ",-,2,#N/A
36,23,The Oscar Nominated Short Films 2017,Shrts.,"$98,609 ",-77.80%,70,-202,"$1,409 ","$2,748,330 ",-,4,#N/A
37,26,Arrival,Par.,"$88,571 ",-63.90%,79,-364,"$1,121 ","$100,501,349 ",$47 ,17,Arrival
38,30,The Founder,Wein.,"$68,251 ",-59.90%,78,-83,$875 ,"$12,486,794 ",-,7,#N/A
39,48,Sleepless,ORF,"$65,913 ",14.60%,101,19,$653 ,"$20,757,977 ",-,8,#N/A
40,25,Everybody Loves Somebody,PNT,"$60,822 ",-83.50%,60,-273,"$1,014 ","$1,824,864 ",-,3,#N/A
41,43,Paterson,BST,"$59,341 ",-26.90%,44,-11,"$1,349 ","$1,798,719 ",-,10,#N/A
42,36,Toni Erdmann,SPC,"$58,280 ",-52.80%,63,-49,$925 ,"$1,281,995 ",-,11,#N/A
43,33,Patriots Day,LGF,"$56,456 ",-60.90%,84,-73,$672 ,"$31,856,991 ",$45 ,11,#N/A
44,38,Jackie,FoxS,"$53,419 ",-51.30%,70,-42,$763 ,"$13,842,478 ",-,14,#N/A
45,,"Tim Timmerman, Hope of America",Purd.,"$50,604 ",-,12,-,"$4,217 ","$50,604 ",-,1,#N/A
46,57,My Life as a Zucchini,GK,"$50,247 ",57.70%,29,27,"$1,733 ","$89,002 ",-,2,#N/A
47,37,The Red Turtle,SPC,"$50,109 ",-57.10%,64,-51,$783 ,"$691,377 ",-,7,#N/A
48,42,Doctor Strange,BV,"$45,195 ",-44.90%,81,-24,$558 ,"$232,597,113 ",$165 ,18,#N/A
49,34,xXx: The Return of Xander Cage,Par.,"$39,469 ",-72.50%,72,-108,$548 ,"$44,739,591 ",$85 ,7,#N/A
50,63,Land of Mine,SPC,"$37,519 ",167.80%,20,12,"$1,876 ","$111,650 ",-,10,#N/A
51,51,A Beautiful Planet,Imax,"$36,410 ",-28.50%,19,-2,"$1,916 ","$9,260,881 ",-,45,#N/A
52,,The Last Word,BST,"$31,630 ",-,4,-,"$7,908 ","$31,630 ",-,1,#N/A
53,14,A Cure for Wellness,Fox,"$31,347 ",-97.80%,88,"-2,616",$356 ,"$8,062,518 ",$40 ,3,#N/A
54,50,Trolls,Fox,"$29,071 ",-46.90%,68,-30,$428 ,"$153,525,061 ",$125 ,18,#N/A
55,52,Un Padre No Tan Padre,PNT,"$23,435 ",-39.20%,23,-29,"$1,019 ","$2,145,468 ",-,6,#N/A
56,47,20th Century Women,A24,"$23,068 ",-60.60%,28,-36,$824 ,"$5,499,512 ",-,10,#N/A
57,61,Neruda,Orch.,"$22,418 ",15.00%,33,6,$679 ,"$760,893 ",-,12,#N/A
58,46,Resident Evil: The Final Chapter,SGem,"$19,162 ",-73.20%,40,-45,$479 ,"$26,708,269 ",$40 ,6,#N/A
59,45,Elle,SPC,"$18,389 ",-75.90%,27,-120,$681 ,"$2,271,863 ",-,17,#N/A
60,58,Fabricated City,CJ,"$17,312 ",-30.20%,7,-,"$2,473 ","$85,253 ",-,2,#N/A
61,,The Women's Balcony,Men.,"$16,620 ",-,2,-,"$8,310 ","$16,620 ",-,1,#N/A
62,53,Underworld: Blood Wars,SGem,"$15,486 ",-59.40%,42,-40,$369 ,"$30,348,260 ",$35 ,9,#N/A
63,55,Julieta,SPC,"$15,324 ",-56.20%,15,-18,"$1,022 ","$1,368,013 ",-,11,#N/A
64,64,The Eagle Huntress,SPC,"$14,637 ",10.40%,21,-1,$697 ,"$3,075,955 ",-,18,#N/A
65,54,Duckweed,CL,"$11,894 ",-67.80%,5,-12,"$2,379 ","$448,205 ",-,4,#N/A
66,62,Assassin's Creed,Fox,"$11,579 ",-39.50%,20,-37,$579 ,"$54,645,723 ",$125 ,11,#N/A
67,59,Gold,Wein.,"$8,375 ",-61.00%,21,-20,$399 ,"$7,222,964 ",-,6,#N/A
68,,Donald Cried,Orch.,"$7,977 ",-,2,-,"$3,989 ","$7,977 ",-,1,#N/A
69,56,Confidential Assignment,CJ,"$7,956 ",-75.10%,4,-6,"$1,989 ","$466,319 ",-,6,#N/A
70,68,Mr. Gaga: A True Story of Love and Dance,Abr.,"$6,878 ",17.80%,4,2,"$1,720 ","$122,457 ",-,5,#N/A
71,,Ugetsu (2017 re-release),Jan.,"$6,154 ",-,1,-,"$6,154 ","$6,154 ",-,1,#N/A
72,,The Freedom to Marry,Argo.,"$6,142 ",-,1,-,"$6,142 ","$6,142 ",-,1,#N/A
73,72,The Lure,Jan.,"$6,004 ",46.10%,7,4,$858 ,"$56,777 ",-,5,#N/A
74,70,Born to Be Wild (IMAX),WB,"$5,856 ",35.50%,7,-2,$837 ,"$25,224,845 ",-,309,#N/A
75,,Junction 48,Orch.,"$5,516 ",-,2,-,"$2,758 ","$5,516 ",-,1,#N/A
76,69,Under the Sea 3D,WB,"$4,565 ",-14.30%,6,3,$761 ,"$35,237,052 ",-,421,#N/A
77,67,XX (2017),Magn.,"$4,342 ",-47.30%,12,-4,$362 ,"$26,645 ",-,3,#N/A
78,74,Chapter & Verse,Pala.,"$4,098 ",35.60%,1,-,"$4,098 ","$78,068 ",-,5,#N/A
79,,To the Arctic (IMAX),WB,"$3,988 ",-,2,-,"$1,994 ","$14,456,659 ",-,230,#N/A
80,,On The Map,Jude,"$3,273 ",-,4,-,$818 ,"$17,099 ",-,6,#N/A
81,,"Kill Me, Deadly",Indic.,"$2,700 ",-,1,-,"$2,700 ","$32,791 ",-,21,#N/A
82,66,The Comedian,SPC,"$2,454 ",-71.30%,3,-27,$818 ,"$1,653,711 ",-,13,#N/A
83,65,Journey to the West: The Demons Strike Back,Sony,"$1,993 ",-81.10%,1,-4,"$1,993 ","$878,098 ",-,5,#N/A
84,,1898: Los ultimos de Filipinas,Sony,"$1,844 ",-,10,-,$184 ,"$1,844 ",-,1,#N/A
85,,Love & Taxes,Abr.,"$1,698 ",-,1,-,"$1,698 ","$1,698 ",-,1,#N/A
86,60,Live By Night,WB,"$1,672 ",-92.10%,17,-73,$98 ,"$10,377,558 ",-,11,#N/A
87,,The Grace of Jake,Indic.,"$1,562 ",-,2,-,$781 ,"$11,068 ",-,5,#N/A
88,,Contemporary Color,Osci.,"$1,451 ",-,1,-,"$1,451 ","$5,233 ",-,1,#N/A
89,79,Massacre on Aisle 12,Indic.,"$1,422 ",26.50%,2,-,$711 ,"$10,581 ",-,6,#N/A
90,,Lovesong,Strand,"$1,413 ",-,2,-,$707 ,"$4,674 ",-,3,#N/A
91,73,The Trouble with Terkel (2017),Indic.,"$1,224 ",-63.60%,1,-2,"$1,224 ","$97,728 ",-,5,#N/A
92,78,Saving Banksy,PDF,$985 ,-28.40%,1,-1,$985 ,"$45,100 ",-,8,#N/A
93,77,Pelle the Conqueror (2017 re-release),FM,$862 ,-48.60%,2,1,$431 ,"$4,574 ",-,2,#N/A
94,,Saigon Bodyguards,CJ,$803 ,-,2,-,$402 ,"$9,262 ",-,4,#N/A
95,,The Fiance,Indic.,$649 ,-,1,-,$649 ,"$22,280 ",-,16,#N/A
96,83,Journey to the South Pacific,Imax,$464 ,179.50%,2,-,$232 ,"$7,198,428 ",-,158,#N/A
97,,Sophie and the Rising Sun,Mont.,$340 ,-,3,-,$113 ,"$27,116 ",-,7,#N/A
98,,Island of Lemurs: Madagascar (IMAX),WB,$298 ,-,2,-,$149 ,"$10,700,733 ",-,153,#N/A
99,,Staying Vertical,Strand,$224 ,-,1,-,$224 ,"$9,991 ",-,5,#N/A
100,,Forest for the Trees (2017 re-release),FM,$68 ,-,1,-,$68 ,"$1,354 ",-,6,#N/A